wall_time,millis_ms,temp_C,rh_pct,mode,voc,nh3,hcho
2026-03-04T11:51:20.440,965195,23.5,22.4,V,1.366,0.562,0.394
2026-03-04T11:51:21.450,966205,23.5,22.4,V,1.365,0.563,0.394
2026-03-04T11:51:22.460,967215,23.5,22.3,V,1.366,0.563,0.396
2026-03-04T11:51:23.469,968225,23.5,22.3,V,1.362,0.562,0.394
2026-03-04T11:51:24.480,969235,23.5,22.3,V,1.363,0.563,0.395
2026-03-04T11:51:25.490,970245,23.5,22.3,V,1.365,0.563,0.395
2026-03-04T11:51:26.499,971255,23.5,22.3,V,1.365,0.563,0.394
2026-03-04T11:51:27.510,972265,23.5,22.3,V,1.363,0.562,0.394
2026-03-04T11:51:28.520,973275,23.5,22.3,V,1.365,0.565,0.396
2026-03-04T11:51:29.529,974285,23.5,22.4,V,1.367,0.564,0.394
2026-03-04T11:51:30.539,975295,23.5,22.4,V,1.364,0.564,0.394
2026-03-04T11:51:31.550,976305,23.5,22.4,V,1.368,0.564,0.396
2026-03-04T11:51:32.559,977315,23.5,22.4,V,1.365,0.565,0.397
2026-03-04T11:51:33.570,978325,23.5,22.4,V,1.366,0.563,0.396
2026-03-04T11:51:34.580,979335,23.5,22.4,V,1.365,0.563,0.397
2026-03-04T11:51:35.589,980345,23.5,22.4,V,1.368,0.563,0.397
2026-03-04T11:51:36.599,981355,23.5,22.4,V,1.364,0.563,0.396
2026-03-04T11:51:37.609,982365,23.5,22.4,V,1.365,0.564,0.396
2026-03-04T11:51:38.619,983375,23.5,22.4,V,1.367,0.562,0.396
2026-03-04T11:51:39.629,984385,23.5,22.5,V,1.366,0.564,0.396
2026-03-04T11:51:40.639,985395,23.5,22.4,V,1.366,0.565,0.396
2026-03-04T11:51:41.649,986405,23.5,22.4,V,1.368,0.564,0.396
2026-03-04T11:51:42.659,987415,23.5,22.4,V,1.368,0.565,0.394
2026-03-04T11:51:43.669,988425,23.5,22.4,V,1.368,0.565,0.397
2026-03-04T11:51:44.680,989435,23.5,22.4,V,1.366,0.563,0.396
2026-03-04T11:51:45.689,990445,23.5,22.4,V,1.368,0.564,0.395
2026-03-04T11:51:46.699,991455,23.4,22.4,V,1.369,0.562,0.396
2026-03-04T11:51:47.710,992465,23.4,22.4,V,1.364,0.563,0.395
2026-03-04T11:51:48.720,993475,23.5,22.4,V,1.365,0.562,0.396
2026-03-04T11:51:49.729,994485,23.4,22.4,V,1.363,0.563,0.394
2026-03-04T11:51:50.740,995495,23.4,22.4,V,1.365,0.563,0.396
2026-03-04T11:51:51.750,996505,23.4,22.4,V,1.366,0.563,0.394
2026-03-04T11:51:52.760,997515,23.4,22.4,V,1.369,0.564,0.396
2026-03-04T11:51:53.770,998525,23.4,22.4,V,1.368,0.562,0.395
2026-03-04T11:51:54.780,999535,23.4,22.3,V,1.369,0.566,0.393
2026-03-04T11:51:55.790,1000545,23.4,22.3,V,1.365,0.566,0.395
2026-03-04T11:51:56.800,1001555,23.4,22.3,V,1.365,0.564,0.397
2026-03-04T11:51:57.810,1002565,23.4,22.3,V,1.367,0.564,0.397
2026-03-04T11:51:58.820,1003575,23.4,22.3,V,1.369,0.565,0.396
2026-03-04T11:51:59.830,1004585,23.4,22.3,V,1.367,0.564,0.397
2026-03-04T11:52:00.840,1005595,23.4,22.3,V,1.367,0.562,0.395
2026-03-04T11:52:01.850,1006605,23.4,22.3,V,1.364,0.565,0.396
2026-03-04T11:52:02.860,1007615,23.4,22.3,V,1.367,0.563,0.397
2026-03-04T11:52:03.870,1008625,23.4,22.3,V,1.367,0.564,0.395
2026-03-04T11:52:04.880,1009635,23.4,22.3,V,1.366,0.564,0.396
2026-03-04T11:52:05.890,1010645,23.4,22.3,V,1.368,0.564,0.397
2026-03-04T11:52:06.900,1011655,23.4,22.3,V,1.369,0.563,0.395
2026-03-04T11:52:07.910,1012665,23.4,22.3,V,1.368,0.563,0.396
2026-03-04T11:52:08.920,1013675,23.4,22.3,V,1.369,0.564,0.395
2026-03-04T11:52:09.930,1014685,23.4,22.3,V,1.369,0.565,0.396
2026-03-04T11:52:10.940,1015695,23.4,22.3,V,1.369,0.564,0.396
2026-03-04T11:52:11.950,1016705,23.4,22.3,V,1.365,0.565,0.394
2026-03-04T11:52:12.960,1017715,23.4,22.3,V,1.37,0.564,0.395
2026-03-04T11:52:13.970,1018725,23.4,22.3,V,1.366,0.563,0.395
2026-03-04T11:52:14.980,1019735,23.4,22.3,V,1.367,0.564,0.395
2026-03-04T11:52:15.991,1020745,23.4,22.2,V,1.369,0.562,0.396
2026-03-04T11:52:17.000,1021755,23.4,22.2,V,1.369,0.563,0.396
2026-03-04T11:52:18.010,1022765,23.4,22.2,V,1.368,0.563,0.397
2026-03-04T11:52:19.021,1023775,23.4,22.2,V,1.367,0.563,0.396
2026-03-04T11:52:20.031,1024785,23.4,22.2,V,1.368,0.563,0.396
2026-03-04T11:52:21.040,1025795,23.4,22.2,V,1.369,0.564,0.395
2026-03-04T11:52:22.050,1026805,23.4,22.2,V,1.369,0.561,0.394
2026-03-04T11:52:23.060,1027815,23.4,22.2,V,1.368,0.563,0.395
2026-03-04T11:52:24.070,1028825,23.4,22.2,V,1.369,0.563,0.396
2026-03-04T11:52:25.080,1029835,23.4,22.2,V,1.371,0.564,0.397
2026-03-04T11:52:26.090,1030845,23.4,22.2,V,1.369,0.563,0.396
2026-03-04T11:52:27.100,1031855,23.4,22.2,V,1.368,0.564,0.396
2026-03-04T11:52:28.110,1032865,23.4,22.2,V,1.366,0.563,0.396
2026-03-04T11:52:29.120,1033875,23.4,22.2,V,1.368,0.563,0.397
2026-03-04T11:52:30.130,1034885,23.4,22.2,V,1.369,0.564,0.395
2026-03-04T11:52:31.140,1035895,23.4,22.2,V,1.368,0.565,0.397
2026-03-04T11:52:32.150,1036905,23.4,22.2,V,1.367,0.564,0.397
2026-03-04T11:52:33.160,1037915,23.4,22.2,V,1.369,0.564,0.398
2026-03-04T11:52:34.170,1038925,23.4,22.2,V,1.369,0.563,0.395
2026-03-04T11:52:35.180,1039935,23.4,22.2,V,1.369,0.564,0.395
2026-03-04T11:52:36.190,1040945,23.4,22.2,V,1.37,0.561,0.398
2026-03-04T11:52:37.200,1041955,23.4,22.2,V,1.368,0.564,0.397
2026-03-04T11:52:38.210,1042965,23.4,22.2,V,1.368,0.563,0.396
2026-03-04T11:52:39.228,1043975,23.4,22.2,V,1.368,0.562,0.398
2026-03-04T11:52:40.230,1044985,23.4,22.2,V,1.368,0.563,0.396
2026-03-04T11:52:41.240,1045995,23.4,22.2,V,1.368,0.564,0.396
2026-03-04T11:52:42.250,1047005,23.4,22.2,V,1.369,0.563,0.396
2026-03-04T11:52:43.260,1048015,23.4,22.2,V,1.37,0.563,0.395
2026-03-04T11:52:44.270,1049025,23.4,22.2,V,1.37,0.563,0.398
2026-03-04T11:52:45.280,1050035,23.4,22.2,V,1.368,0.565,0.398
2026-03-04T11:52:46.290,1051045,23.4,22.2,V,1.369,0.563,0.399
2026-03-04T11:52:47.300,1052055,23.4,22.2,V,1.371,0.563,0.399
2026-03-04T11:52:48.310,1053065,23.4,22.2,V,1.371,0.561,0.397
2026-03-04T11:52:49.320,1054075,23.4,22.2,V,1.369,0.564,0.398
2026-03-04T11:52:50.330,1055085,23.4,22.2,V,1.368,0.564,0.396
2026-03-04T11:52:51.340,1056095,23.4,22.2,V,1.368,0.562,0.397
2026-03-04T11:52:52.350,1057105,23.4,22.2,V,1.37,0.563,0.397
2026-03-04T11:52:53.360,1058115,23.4,22.1,V,1.37,0.565,0.398
2026-03-04T11:52:54.369,1059125,23.4,22.1,V,1.367,0.564,0.398
2026-03-04T11:52:55.380,1060135,23.4,22.1,V,1.37,0.563,0.398
2026-03-04T11:52:56.390,1061145,23.4,22.1,V,1.372,0.562,0.398
2026-03-04T11:52:57.399,1062155,23.4,22.1,V,1.369,0.564,0.397
2026-03-04T11:52:58.409,1063165,23.4,22.1,V,1.368,0.565,0.398
2026-03-04T11:52:59.419,1064175,23.3,22.1,V,1.37,0.566,0.396
2026-03-04T11:53:00.429,1065185,23.4,22.0,V,1.371,0.562,0.397
2026-03-04T11:53:01.439,1066195,23.4,22.0,V,1.369,0.563,0.397
2026-03-04T11:53:02.449,1067205,23.3,22.0,V,1.369,0.564,0.395
2026-03-04T11:53:03.459,1068215,23.3,22.0,V,1.369,0.564,0.398
